PDB_ID,CHAIN_ID
1a0n,B
1aap,A
1aq1,A
1ark,A
1avz,C
1azg,B
1b38,A
1b39,A
1bik,A
1bj4,A
1bm7,A
1bm7,B
1bmz,A
1bmz,B
1brc,I
1buh,A
1bz8,A
1bz8,B
1bzd,A
1bzd,B
1bze,A
1bze,B
1ca0,D
1ckp,A
1cm8,A
1cm8,B
1cr8,A
1cs9,A
1di8,A
1dl6,A
1dm2,A
1dvq,A
1dvq,B
1dvs,A
1dvs,B
1dvt,A
1dvt,B
1dvu,A
1dvu,B
1dvx,A
1dvx,B
1dvy,A
1dvy,B
1dvz,A
1dvz,B
1e1v,A
1e1x,A
1e3f,A
1e3f,B
1e4h,A
1e4h,B
1e5a,A
1e5a,B
1e6f,A
1e9h,A
1e9h,C
1efn,A
1efn,C
1ekg,A
1eta,1
1eta,2
1etb,1
1etb,2
1f3m,C
1f3m,D
1f41,A
1f41,B
1f5q,A
1f86,A
1f86,B
1f8a,B
1fh2,A
1fh2,B
1fhn,A
1fhn,B
1fin,A
1fin,C
1fmk,A
1fq1,B
1fvt,A
1fvv,A
1fvv,C
1fxl,A
1fyn,A
1g1o,A
1g1o,B
1g1o,C
1g1o,D
1g2e,A
1g5s,A
1g5v,A
1g83,A
1g83,B
1g96,A
1gih,A
1gii,A
1gij,A
1gko,A
1gko,B
1gko,C
1gko,D
1go4,A
1go4,B
1go4,C
1go4,D
1gp0,A
1gp3,A
1gqb,A
1gqb,B
1gy3,A
1gy3,C
1gz8,A
1h00,A
1h01,A
1h07,A
1h08,A
1h0v,A
1h0w,A
1h1p,A
1h1p,C
1h1q,A
1h1q,C
1h1r,A
1h1r,C
1h1s,A
1h1s,C
1h24,A
1h24,C
1h25,C
1h28,A
1h28,C
1h8f,A
1h8f,B
1h92,A
1ha1,A
1hck,A
1hcl,A
1hyr,A
1hyr,B
1i09,A
1i09,B
1ict,A
1ict,B
1ict,C
1ict,D
1ict,E
1ict,F
1ict,G
1ict,H
1ig1,A
1iii,A
1iii,B
1iik,A
1iik,B
1ijn,A
1ijn,B
1j1b,A
1j1b,B
1j1c,A
1j1c,B
1jeq,A
1jey,A
1jkk,A
1jkl,A
1jks,A
1jkt,A
1jkt,B
1jst,C
1jsv,A
1jvp,P
1k3b,C
1kcg,B
1ke5,A
1ke6,A
1ke7,A
1ke8,A
1ke9,A
1kik,A
1ksg,B
1ksh,B
1ksj,B
1ksw,A
1l3k,A
1l8k,A
1l9m,A
1l9m,B
1l9n,A
1l9n,B
1lar,A
1lar,B
1lck,A
1lgp,A
1lgq,A
1lgq,B
1lm7,A
1lm7,B
1lv9,A
1m27,C
1mhn,A
1neb,A
1nud,A
1nud,B
1nuf,A
1nug,A
1nug,B
1nyf,A
1nyg,A
1o5e,L
1o5f,L
1o9a,A
1ogu,A
1ogu,C
1oi9,A
1oi9,C
1oiq,A
1oir,A
1oiu,A
1oiu,C
1oiy,A
1oiy,C
1okv,C
1okw,A
1okw,C
1ol1,A
1ol1,C
1ol2,A
1ol2,C
1p2a,A
1p4f,A
1p57,A
1p5e,A
1p5e,C
1pf8,A
1pgz,A
1pin,A
1pkd,A
1pkd,C
1po6,A
